Accelerating Voltage (Volts),Magnetizing Current (Amps),s1 (cm),s2 (cm),r (m),e/m ratio (C/kg),,,Error
150,1,5.9,14,0.0405,1.97E+11,,,12.04%
150,1.25,7,13.5,0.0325,1.96E+11,,,11.35%
150,1.5,7.8,12.9,0.0255,2.21E+11,,,25.61%
150,1.75,8.2,12.6,0.022,2.18E+11,,,23.98%
150,2,8.4,12.5,0.0205,1.92E+11,,,9.32%
,,,,AVG,2.05E+11,,AVG,16.46%
