Accelerating Voltage (Volts),Magnetizing Current (Amps),s1 (cm),s2 (cm),r (m),e/m ratio (C/kg),,,Error
125,1,6.1,13.2,0.0355,2.14E+11,,,21.52%
125,1.25,6.6,12.4,0.029,2.05E+11,,,16.54%
125,1.5,7.1,12.2,0.0255,1.84E+11,,,4.67%
125,1.75,7.75,11.85,0.0205,2.09E+11,,,18.99%
125,2,7.9,11.6,0.0185,1.97E+11,,,11.87%
,,,,AVG,2.02E+11,,AVG,14.72%
