Accelerating Voltage (Volts),Magnetizing Current (Amps),s1 (cm),s2 (cm),r (m),e/m ratio (C/kg),,,Error
100,1,6.5,13,0.0325,2.04E+11,,,15.99%
100,1.25,7,12.4,0.027,1.89E+11,,,7.56%
100,1.5,7.5,11.9,0.022,1.98E+11,,,12.50%
100,1.75,7.8,11.6,0.019,1.95E+11,,,10.82%
100,2,8.2,11.5,0.0165,1.98E+11,,,12.50%
,,,,AVG,1.97E+11,,AVG,11.87%
